qacc	sacc	bitscore	evalue	sscinames
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_178871	318	9.76e-87	Petroclostridium xylanilyticum
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_117165	318	9.76e-87	Ruminiclostridium hungatei
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_117164	318	9.76e-87	Ruminiclostridium hungatei
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_117163	318	9.76e-87	Ruminiclostridium hungatei
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_117162	318	9.76e-87	Ruminiclostridium hungatei
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_114425	318	9.76e-87	Ruminiclostridium hungatei
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_041235	318	9.76e-87	Acetivibrio clariflavus DSM 19732
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_041497	318	9.76e-87	Ruminiclostridium sufflavum
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_026102	318	9.76e-87	Ruminiclostridium papyrosolvens DSM 2782
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_025025	315	1.26e-85	Papillibacter cinnamivorans
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_113360	313	4.54e-85	Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_180563	313	4.54e-85	Ruminiclostridium herbifermentans
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_117111	313	4.54e-85	Ruminiclostridium cellobioparum subsp. termitidis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_026104	313	4.54e-85	Ruminiclostridium cellobioparum DSM 1351 = ATCC 15832
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_044713	311	1.63e-84	Acetitomaculum ruminis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_181885	309	5.87e-84	Hominisplanchenecus faecis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_117645	307	2.11e-83	Vallitalea guaymasensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_148837	307	2.11e-83	Abyssivirga alkaniphila
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_026314	307	2.11e-83	Blautia hydrogenotrophica
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_181757	302	9.83e-82	Dysosmobacter acutus
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_180617	302	9.83e-82	Ructibacterium gallinarum
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_179590	302	9.83e-82	Blautia provencensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_108636	302	9.83e-82	Natranaerovirga pectinivora
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_134026	302	9.83e-82	Ercella succinigenes
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_125677	302	9.83e-82	Vallitalea pronyensis
M00967:43:000000000-A3JHG:1:1101:16780:2259	NR_044054	302	9.83e-82	Blautia wexlerae DSM 19850
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_179975	464	1.18e-130	Duncaniella muris
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_144616	375	5.71e-104	Muribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_181879	364	1.24e-100	Duncaniella muricolitica
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_180717	364	1.24e-100	Heminiphilus faecis
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_179976	364	1.24e-100	Paramuribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_180431	348	1.24e-95	Muribaculum gordoncarteri
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_170509	331	1.25e-90	Duncaniella freteri
M00967:43:000000000-A3JHG:1:1101:19378:2540	NR_181880	320	2.71e-87	Sangeribacter muris
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_170509	398	1.22e-110	Duncaniella freteri
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_181879	392	5.67e-109	Duncaniella muricolitica
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_180717	370	2.66e-102	Heminiphilus faecis
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_179976	370	2.66e-102	Paramuribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_180431	364	1.24e-100	Muribaculum gordoncarteri
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_179975	353	2.68e-97	Duncaniella muris
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_144616	348	1.24e-95	Muribaculum intestinale
M00967:43:000000000-A3JHG:1:1101:17674:2779	NR_181880	337	2.69e-92	Sangeribacter muris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_178255	370	2.66e-102	Fusimonas intestini
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180833	359	5.75e-99	Waltera intestinalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_104899	359	5.75e-99	Hungatella xylanolytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_119068	357	2.07e-98	Lacrimispora aerotolerans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180822	353	2.68e-97	Bilifractor porci
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_028726	353	2.68e-97	Lacrimispora algidixylanolytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_037068	353	2.68e-97	Lacrimispora xylanolytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181398	348	1.24e-95	Wansuia hejianensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180048	348	1.24e-95	Clostridium indicum
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_173632	348	1.24e-95	Novisyntrophococcus fermenticellae
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179590	348	1.24e-95	Blautia provencensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179587	348	1.24e-95	Lachnoclostridium edouardi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_112174	348	1.24e-95	[Clostridium] sphenoides JCM 1415
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179173	348	1.24e-95	Clostridium fessum
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_178356	348	1.24e-95	Clostridium geopurificans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_114315	348	1.24e-95	Blautia luti DSM 14534
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_024917	348	1.24e-95	[Clostridium] methoxybenzovorans SR3
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026409	348	1.24e-95	Lacrimispora sphenoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_112654	348	1.24e-95	[Clostridium] celerecrescens 18A
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_115211	348	1.24e-95	Lacrimispora amygdalina
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_044054	348	1.24e-95	Blautia wexlerae DSM 19850
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026100	348	1.24e-95	[Clostridium] celerecrescens 18A
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_133762	342	5.79e-94	Hungatella effluvii
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180823	342	5.79e-94	Velocimicrobium porci
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180797	342	5.79e-94	Clostridium porci
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179584	342	5.79e-94	Blautia phocaeensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179447	342	5.79e-94	Clostridium transplantifaecale
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_119035	342	5.79e-94	[Clostridium] sphenoides JCM 1415
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_156080	342	5.79e-94	Kineothrix alysoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_156077	342	5.79e-94	Kineothrix alysoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_147396	342	5.79e-94	Lachnoclostridium pacaense
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_178380	342	5.79e-94	Clostridium indicum
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_043680	342	5.79e-94	Enterocloster aldenensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_102852	342	5.79e-94	Lacrimispora saccharolytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026494	342	5.79e-94	Lacrimispora saccharolytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026493	342	5.79e-94	Lacrimispora indolis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_036928	342	5.79e-94	Hungatella hathewayi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_109014	342	5.79e-94	Blautia faecis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181394	337	2.69e-92	Jutongia huaianensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181211	337	2.69e-92	Blautia liquoris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_041960	337	2.69e-92	Blautia luti
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_118354	337	2.69e-92	Syntrophococcus sucromutans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180815	337	2.69e-92	Oliverpabstia intestinalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180671	337	2.69e-92	Mediterraneibacter catenae
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180026	337	2.69e-92	Blautia brookingsii
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_119217	337	2.69e-92	Blautia producta ATCC 27340 = DSM 2950
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_170495	337	2.69e-92	Blautia faecicola
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_156081	337	2.69e-92	Kineothrix alysoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_156079	337	2.69e-92	Kineothrix alysoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_156078	337	2.69e-92	Kineothrix alysoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_171444	337	2.69e-92	Blautia argi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_147406	337	2.69e-92	Mordavella massiliensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_036869	337	2.69e-92	Syntrophococcus sucromutans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_171392	337	2.69e-92	Blautia argi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_171390	337	2.69e-92	Blautia argi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_113270	337	2.69e-92	Blautia producta ATCC 27340 = DSM 2950
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_036776	337	2.69e-92	Blautia producta
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_027579	337	2.69e-92	[Ruminococcus] lactaris ATCC 29176
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_104735	337	2.69e-92	Butyrivibrio crossotus
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_104700	337	2.69e-92	Blautia coccoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181397	331	1.25e-90	Jingyaoa shaoxingensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181392	331	1.25e-90	Simiaoa hominis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180825	331	1.25e-90	Roseburia porci
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_144617	331	1.25e-90	Muricomes intestini
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179658	331	1.25e-90	Massilistercora timonensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179638	331	1.25e-90	Dorea phocaeensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_119287	331	1.25e-90	Syntrophococcus sucromutans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_042200	331	1.25e-90	Enterocloster asparagiformis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_163638	331	1.25e-90	Blautia hominis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_163637	331	1.25e-90	Blautia hominis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_163636	331	1.25e-90	Blautia hominis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_163635	331	1.25e-90	Blautia hominis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_163634	331	1.25e-90	Blautia hominis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_147395	331	1.25e-90	Blautia marasmi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_178840	331	1.25e-90	Blautia pseudococcoides
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_074634	331	1.25e-90	[Eubacterium] rectale ATCC 33656
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_104783	331	1.25e-90	Acetivibrio ethanolgignens
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_113231	331	1.25e-90	Blautia glucerasea
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_112789	331	1.25e-90	Blautia glucerasea
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_104687	331	1.25e-90	Blautia hansenii DSM 20583
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_044289	331	1.25e-90	Enterocloster lavalensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_171388	329	4.51e-90	Blautia argi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181402	326	5.83e-89	Blautia intestinalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180620	326	5.83e-89	Sellimonas monacensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_180334	326	5.83e-89	Blautia intestinalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_144608	326	5.83e-89	Cuneatibacter caecimuris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_144607	326	5.83e-89	Blautia caecimuris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179627	326	5.83e-89	Konateibacter massiliensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179560	326	5.83e-89	Lachnoclostridium phocaeense
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179494	326	5.83e-89	Luxibacter massiliensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_156907	326	5.83e-89	Faecalimonas umbilicata
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_118692	326	5.83e-89	Blautia obeum ATCC 29174
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_042008	326	5.83e-89	Roseburia hominis A2-183
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_148624	326	5.83e-89	Sellimonas intestinalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_144722	326	5.83e-89	Drancourtella massiliensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_173570	326	5.83e-89	Gluceribacter canis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_134772	326	5.83e-89	Murimonas intestini
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_114392	326	5.83e-89	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_114326	326	5.83e-89	Fusicatenibacter saccharivorans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_074809	326	5.83e-89	Roseburia hominis A2-183
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117131	326	5.83e-89	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117128	326	5.83e-89	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117127	326	5.83e-89	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117126	326	5.83e-89	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_151895	326	5.83e-89	Anaerocolumna cellulosilytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026312	326	5.83e-89	Blautia schinkii
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117867	326	5.83e-89	Blautia stercoris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_116747	326	5.83e-89	[Ruminococcus] faecis JCM 15917
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_042832	326	5.83e-89	Roseburia faecis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_171391	324	2.10e-88	Blautia argi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_044645	320	2.71e-87	Dorea formicigenerans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181885	320	2.71e-87	Hominisplanchenecus faecis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181263	320	2.71e-87	Faecalicatena faecalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117905	320	2.71e-87	Acetatifactor muris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_144610	320	2.71e-87	Extibacter muris
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_043681	320	2.71e-87	Enterocloster citroniae
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_173637	320	2.71e-87	Variimorphobacter saccharofermentans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_118730	320	2.71e-87	[Clostridium] symbiosum
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_171389	320	2.71e-87	Blautia argi
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_102893	320	2.71e-87	Butyrivibrio proteoclasticus
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117130	320	2.71e-87	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117129	320	2.71e-87	Faecalicatena orotica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_027557	320	2.71e-87	Roseburia intestinalis L1-82
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026314	320	2.71e-87	Blautia hydrogenotrophica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_117758	320	2.71e-87	Roseburia intestinalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_113359	320	2.71e-87	Anaerocolumna aminovalerica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_113199	320	2.71e-87	Anaerocolumna aminovalerica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_043551	320	2.71e-87	Lactonifactor longoviformis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_041882	320	2.71e-87	Robinsoniella peoriensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_025796	320	2.71e-87	Anaerocolumna jejuensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_025525	318	9.76e-87	Butyrivibrio hungatei
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_173596	315	1.26e-85	Butyribacter intestini
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_181369	315	1.26e-85	Clostridium vitabionis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_118128	315	1.26e-85	Enterocloster clostridioformis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_113410	315	1.26e-85	Enterocloster bolteae
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179631	315	1.26e-85	Corynebacterium dentalis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_114807	315	1.26e-85	Marvinbryantia formatexigens
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_112089	315	1.26e-85	[Clostridium] hylemonae DSM 15053
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179434	315	1.26e-85	Mediterraneibacter massiliensis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179276	315	1.26e-85	Mediterraneibacter butyricigenes
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_042152	315	1.26e-85	Marvinbryantia formatexigens
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_157642	315	1.26e-85	Merdimonas faecis
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_179183	315	1.26e-85	Anaerocolumna chitinilytica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_151894	315	1.26e-85	Anaerotaenia torta
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_025567	315	1.26e-85	Enterocloster bolteae
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_104737	315	1.26e-85	Eubacterium oxidoreducens
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_025206	315	1.26e-85	Hespellia porcina
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_028740	315	1.26e-85	Anaerocolumna xylanovorans
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_029097	315	1.26e-85	Oribacterium sinus
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_026106	315	1.26e-85	[Eubacterium] cellulosolvens
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_029245	313	4.54e-85	Anaerocolumna aminovalerica
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_024719	313	4.54e-85	[Clostridium] hylemonae
M00967:43:000000000-A3JHG:1:1101:18089:2781	NR_044715	311	1.63e-84	Enterocloster clostridioformis
